fiscal_year,year,month,scheme,interest_rate,units,note
2025-26,2025,December,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,November,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,October,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,September,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,August,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,July,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,June,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,May,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,April,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2025,March,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2025,February,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2025,January,Public Provident Fund,7.1,interest_rate in percentage,
2025-26,2025,December,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,November,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,October,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,September,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,August,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,July,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,June,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,May,Public Provident Fund,7.1,interest_rate in percentage,
2024-25,2024,April,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2024,March,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2024,February,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2024,January,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,December,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,November,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,October,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,September,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,August,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,July,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2023,January,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2023,February,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2023,March,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,April,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,May,Public Provident Fund,7.1,interest_rate in percentage,
2023-24,2023,June,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2022,January,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2022,February,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2022,March,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,April,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,May,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,June,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,July,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,August,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,September,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,October,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,November,Public Provident Fund,7.1,interest_rate in percentage,
2022-23,2022,December,Public Provident Fund,7.1,interest_rate in percentage,
2020-21,2021,January,Public Provident Fund,7.1,interest_rate in percentage,
2020-21,2021,February,Public Provident Fund,7.1,interest_rate in percentage,
2020-21,2021,March,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,April,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,May,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,June,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,July,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,August,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,September,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,October,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,November,Public Provident Fund,7.1,interest_rate in percentage,
2021-22,2021,December,Public Provident Fund,7.1,interest_rate in percentage,
2019-20,2020,January,Public Provident Fund,7.9,interest_rate in percentage,
2019-20,2020,February,Public Provident Fund,7.9,interest_rate in percentage,
2019-20,2020,March,Public Provident Fund,7.9,interest_rate in percentage,
2020-21,2020,April,Public Provident Fund,7.1,interest_rate in percentage,
