fiscal_year,taxpayer_category,taxpayer_sub_category,value,unit,note
2020-21,Corporate Tax Payers,,967054,value in absolute number,fiscal_year: data is provisional
2020-21,Personal Tax Payers,,68440784,value in absolute number,fiscal_year: data is provisional
2020-21,Personal Tax Payers,Share of Govt.Employees/ pensioners,12820647,value in absolute number,fiscal_year: data is provisional
2020-21,Total Taxpayers,,69407838,value in absolute number,fiscal_year: data is provisional
2019-20,Corporate Tax Payers,,920523,value in absolute number,
2019-20,Personal Tax Payers,,66186940,value in absolute number,
2019-20,Personal Tax Payers,Share of Govt.Employees/ pensioners,12220647,value in absolute number,
2019-20,Total Taxpayers,,67107463,value in absolute number,
2018-19,Corporate Tax Payers,,888132,value in absolute number,
2018-19,Personal Tax Payers,,68544351,value in absolute number,
2018-19,Personal Tax Payers,Share of Govt.Employees/ pensioners,13742367,value in absolute number,
2018-19,Total Taxpayers,,69432483,value in absolute number,
2017-18,Corporate Tax Payers,,844535,value in absolute number,
2017-18,Personal Tax Payers,,62053707,value in absolute number,
2017-18,Personal Tax Payers,Share of Govt.Employees/ pensioners,11119051,value in absolute number,
2017-18,Total Taxpayers,,62898242,value in absolute number,
2016-17,Corporate Tax Payers,,795533,value in absolute number,
2016-17,Personal Tax Payers,,52426386,value in absolute number,
2016-17,Personal Tax Payers,Share of Govt.Employees/ pensioners,7848108,value in absolute number,
2016-17,Total Taxpayers,,53221919,value in absolute number,
2015-16,Corporate Tax Payers,,771802,value in absolute number,
2015-16,Personal Tax Payers,,51033832,value in absolute number,
2015-16,Personal Tax Payers,Share of Govt.Employees/ pensioners,6712222,value in absolute number,
2015-16,Total Taxpayers,,51805634,value in absolute number,
2014-15,Corporate Tax Payers,,729363,value in absolute number,
2014-15,Personal Tax Payers,,43509915,value in absolute number,
2014-15,Personal Tax Payers,Share of Govt.Employees/ pensioners,5383619,value in absolute number,
2014-15,Total Taxpayers,,44239278,value in absolute number,
2013-14,Corporate Tax Payers,,636023,value in absolute number,
2013-14,Personal Tax Payers,,32511136,value in absolute number,
2013-14,Personal Tax Payers,Share of Govt.Employees/ pensioners,3907631,value in absolute number,
2013-14,Total Taxpayers,,33147159,value in absolute number,
2012-13,Corporate Tax Payers,,618806,value in absolute number,
2012-13,Personal Tax Payers,,28209753,value in absolute number,
2012-13,Personal Tax Payers,Share of Govt.Employees/ pensioners,2812876,value in absolute number,
2012-13,Total Taxpayers,,28828559,value in absolute number,
